acronym,"expansion, from https://en.wikipedia.org/wiki/Lists_of_acronyms (October 10, 2019)"
3i ,3i – (i) Investors In industry (venture capitalists)
9D ,9D – Nine-dimensional
4D ,"4D – (i) Four-dimensional (usually three spatial plus one temporal dimension, sometimes four spatial ones)"
3M ,3M – (i) Minnesota Mining and Manufacturing Company
5D ,5D – Five-dimensional
2Lt ,2Lt – 2nd lieutenant
4GL ,4GL – (i) Fourth-generation programming language
4G ,4G – (i) Fourth-generation mobile telephone system
2G ,"2G – (i) Second-generation mobile (cellular, wireless) telephone system"
0D,0D - Zero-dimensional
1AM ,1AM – Air mechanic 1st class
2AM ,2AM – Air mechanic 2nd class
4WD ,4WD – (i) Four-wheel drive
7D ,7D – Seven-dimensional
8D ,8D – Eight-dimensional
2.5G ,2.5G – (p) Second-and-a-half-generation mobile telephone system
3D ,3D – (i) Three-dimensional
2.5D ,"2.5D – (p) ""Two-and-a-half-dee"": two-dimensional computer graphics where some flat images lie in front of others"
6D ,6D – Six-dimensional
2LA,2LA - Two letter acronym
3G ,3G – (i) Third-generation mobile telephone system
2D ,2D – (i) Two-dimensional
1D,1D - One-dimensional
3AM ,3AM – Air mechanic 3rd class
ARDA ,ARDA – (a) Advanced Research and Development Activity (became DTO 2006)
AUT ,AUT – (s) Austria (ISO 3166 trigram)
ATC ,"ATC – (i) Air Traffic Control – Air Training Corps – U.S. Air Transport Command (1942–1948)- Athletic Trainer, Certified (www.nata.org)"
ASIC ,ASIC – (a) Australian Securities and Investments Commission – (a) Aviation Security Identification Card
ASN ,ASN – (i) Associate of Science in Nursing
AHEC ,AHEC – (i) Australian Health Ethics Committee
AWW ,AWW – (i) Above Water Warfare
ACT,"ACT
(i) Adaptive Control of Thought (cognitive model)
American College Test (ing Program)
Australian Capital Territory (also postal symbol)"
APCNR ,"APCNR – (i) Armour-Piercing, Composite Non-Rigid (ammunition)"
A ,A – (s) Ampere
AS ,AS – (i) ActionScript
AIR ,AIR – (i) Aircraft Inventory Record
As ,As – (s) Arsenic
AGARD ,AGARD – (a) Advisory Group for Aerospace Research and Development
AFV ,AFV – (i) armoured fighting vehicle
aeq. ,"aeq. – (p) aequalis (Latin, ""equal"")"
ABN ,ABN – (i) Australian Business Number (a number issued by the Australian government as registration of a business and used for taxation purposes)
AFAICT ,AFAICT – (i) As Far As I Can Tell
ADIZ ,ADIZ – (a/i) Air Defence Identification Zone
AIMP ,AIMP – (i) Aurora Incremental Modernization Project
